Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Debug 0,Debug 1,Debug 2,Debug 3,App message,
79.85833999999986,1413,,,,-0.0625,-0.017578125,-0.98828125,,,12.41410429919304,2.279068843236869,2993,2992,28.159632105491365,,66.37671810177271,,,,,,0.865234375,2.260529877136747,0,0,0,0,,
79.89333000000008,1413,,,,0.0625,0.556640625,-0.943359375,,3.109542639795138,12.413799653299963,2.2889855834475887,2993,2991,28.27649411000671,,66.07841964583439,,,,,-0.7235557004547187,0.86328125,2.2613070120682224,0,0,0,0,,
79.94216000000014,1413,,,,-0.072265625,-0.2734375,-0.91015625,0.05994355251436431,,12.413977292023569,2.2896873249592247,2993,2991,28.288776582586877,18.777576008764445,66.3781834253057,0.16559872468862635,0.1099214252237834,0.3280062935869439,-0.44933273057508816,,0.869140625,2.261767719977136,0,0,0,0,,
79.98720000000112,1413,,,,-0.03125,0.14453125,-1.017578125,,,12.413685306532425,2.2861362800509784,2993,2992,28.28690711390894,,66.39033874920841,,,,,,0.87890625,2.2619621364787097,0,0,0,0,,
80.04310500000045,1413,,,,0.115234375,0.21484375,-0.947265625,,3.170994538798792,12.413746893040715,2.2894539543574024,2993,2992,28.307421529625124,,66.34374148671289,,,,,-0.7296424129102601,0.873046875,2.262525518546554,0,0,0,0,,
80.09603500000014,1413,,,,-0.025390625,-0.12109375,-0.9453125,0.0593604649372084,,12.413604554827936,2.2826586861179794,2994,2992,28.216781696121387,18.600420667668157,65.91971000798056,0.1704797216931075,0.11237973816250878,0.3316796318229155,-0.44885320476256,,0.876953125,2.2626105585504535,0,0,0,0,,
80.13549000000022,1413,,,,-0.287109375,-0.087890625,-1.03125,,,12.413252268994324,2.288498167347571,2990,2992,28.288140829108023,,65.73788992058228,,,,,,0.880859375,2.2631882062254993,0,0,0,0,,
80.17947500000149,1413,,,,0.14453125,-0.005859375,-0.91796875,,3.131635666064651,12.412956271343164,2.288687510905951,2992,2992,28.26917199792058,,65.78174951455337,,,,,-0.7257439794234004,0.875,2.2635398977179215,0,0,0,0,,
80.21750999999978,1413,,,,-0.1484375,0.2578125,-1.056640625,,,12.41346534314458,2.2927707117409732,2994,2992,28.296566051713402,,65.73457771250341,,,,,,0.876953125,2.264034783959037,0,0,0,0,,
80.26601500000059,1413,,,,-0.10546875,-0.205078125,-0.953125,0.059544529966136836,,12.413241264189324,2.2917002194634,2994,2993,28.236280186547777,18.660717229763964,66.0877321887967,0.1678196838581141,0.11090822322823576,0.3294798660399936,-0.44813617437653247,,0.876953125,2.264445169908125,0,0,0,0,,
